RK,NAME,TEAM,POS,GMS,PASSING_YDS,PASSING_TD,INT,RUSHING_YDS,RUSHING_TD,RECEPTIONS,REC_YDS,REC_TD,FUM LST,PPG,FPTS
46,Odell Beckham Jr,NYG,WR,12,106,2,0,19,0,77,1052,6,1,19.2,230.34
47,Kareem Hunt,KC,RB,11,0,0,0,824,7,26,378,7,0,20.9,230.2
48,Phillip Lindsay P,DEN,RB,15,0,0,0,1037,9,35,241,1,0,14.9,222.8
49,Tyler Lockett,SEA,WR,16,0,0,0,69,0,57,965,10,0,13.9,222.4
50,Eric Ebron,IND,TE,16,0,0,0,-8,1,66,750,13,1,13.9,222.2
51,Tyler Boyd,CIN,WR,14,0,0,0,3,0,76,1028,7,0,15.8,221.1
52,Jarvis Landry,CLE,WR,16,63,0,0,60,1,81,976,4,1,13.6,217.12
53,Derek Carr,OAK,QB,16,4049,19,10,47,1,1,-9,0,7,13.5,216.76
54,Amari Cooper,DAL,WR,15,0,0,0,20,0,75,1004,7,2,14.4,215.4
55,Case Keenum,DEN,QB,16,3890,18,15,93,2,0,0,0,2,13.4,214.9
56,Matthew Stafford,DET,QB,16,3777,21,11,71,0,0,0,0,4,13.3,212.18
57,Josh Allen,BUF,QB,12,2074,10,12,631,8,0,0,0,2,17.3,208.06
58,Julian Edelman,NE,WR,12,43,0,0,107,0,74,850,6,0,17.3,207.42
59,Kenny Golladay,DET,WR,15,0,0,0,8,0,70,1063,5,0,13.8,207.1
60,Calvin Ridley,ATL,WR,16,0,0,0,27,0,64,821,10,1,12.9,206.8
61,Kenyan Drake Q,MIA,RB,16,0,0,0,535,4,53,477,5,1,12.9,206.2
62,Chris Carson,SEA,RB,14,0,0,0,1151,9,20,163,0,2,14.4,201.4
63,Derrick Henry P,TEN,RB,16,14,0,0,1059,12,15,99,0,1,12.6,201.36
64,Emmanuel Sanders P,DEN,WR,12,28,1,0,53,1,71,868,4,0,16.5,198.22
65,Jameis Winston,TB,QB,11,2992,19,14,281,1,0,0,0,3,17.8,195.78
66,Nick Chubb,CLE,RB,16,0,0,0,996,8,20,149,2,0,12.2,194.5
67,Carson Wentz,PHI,QB,11,3074,21,7,93,0,1,4,0,6,17.6,193.66
68,Tevin Coleman,ATL,RB,16,0,0,0,800,4,32,276,5,0,12.1,193.6
68,Jared Cook,OAK,TE,16,0,0,0,0,0,68,896,6,0,12.1,193.6
70,Adrian Peterson,WAS,RB,16,0,0,0,1042,7,20,208,1,2,11.8,189
71,Adam Humphries,TB,WR,16,0,0,0,11,0,76,816,5,0,11.8,188.7
72,Larry Fitzgerald,ARI,WR,16,32,1,0,0,0,69,734,6,0,11.6,185.68
73,Alshon Jeffery,PHI,WR,13,0,0,0,0,0,65,843,6,0,14.3,185.3
74,Chris Godwin,TB,WR,16,0,0,0,0,0,59,842,7,1,11.6,185.2
75,Corey Davis,TEN,WR,16,0,0,0,55,0,65,891,4,0,11.5,183.6
76,Golden Tate O,PHI,WR,15,0,0,0,34,0,74,795,4,0,12.2,182.9
77,Sterling Shepard P,NYG,WR,16,0,0,0,33,0,66,872,4,0,11.4,182.5
78,Mohamed Sanu,ATL,WR,16,5,1,0,44,0,66,838,4,1,11.4,182.4
79,Mike Williams,LAC,WR,16,0,0,0,28,1,43,664,10,0,11.3,180.2
80,Jordan Howard,CHI,RB,16,0,0,0,935,9,20,145,0,1,11.2,180
81,Marlon Mack,IND,RB,12,0,0,0,908,9,17,103,1,2,14.8,178.1
82,Marcus Mariota,TEN,QB,14,2528,11,8,357,2,1,21,0,2,12.6,175.92
83,Andy Dalton,CIN,QB,11,2566,21,11,99,0,0,0,0,0,15.9,174.54
84,Dede Westbrook,JAX,WR,16,0,0,0,98,0,66,717,5,2,10.8,173.5
85,Blake Bortles,JAX,QB,13,2718,13,11,365,1,0,0,0,4,13.3,173.22
86,TJ Yeldon,JAX,RB,14,0,0,0,414,1,55,487,4,1,12.4,173.1
87,Lamar Miller,HOU,RB,14,0,0,0,973,5,25,163,1,1,12.3,172.6
88,Aaron Jones,GB,RB,12,0,0,0,728,8,26,206,1,1,14.3,171.4
89,Austin Ekeler,LAC,RB,14,0,0,0,554,3,39,404,3,1,12.1,168.8
90,Sam Darnold,NYJ,QB,13,2865,17,15,138,1,0,0,0,2,13,168.4
91,Ryan Fitzpatrick,TB,QB,8,2366,17,12,152,2,0,0,0,1,20.7,165.84
92,Nelson Agholor,PHI,WR,16,15,0,0,32,0,64,736,4,0,10.3,165.4
93,Zay Jones,BUF,WR,16,0,0,0,0,0,56,652,7,0,10.3,165.2
94,Austin Hooper,ATL,TE,16,0,0,0,0,0,71,660,4,0,10.2,163
95,Matt Breida,SF,RB,14,0,0,0,814,3,27,261,2,1,11.6,162.5
96,Nyheim Hines,IND,RB,16,0,0,0,314,2,63,425,2,0,10.1,160.9
97,Dion Lewis,TEN,RB,16,0,0,0,517,1,59,400,1,1,10,160.7
98,Lamar Jackson,BAL,QB,16,1201,6,3,695,5,0,0,0,4,9.8,157.54
99,D.J. Moore,CAR,WR,16,0,0,0,172,0,55,788,2,3,9.8,157
100,Demaryius Thomas PUP,HOU,WR,15,0,0,0,0,0,59,677,5,0,10.4,156.7
100,Jordy Nelson,OAK,WR,15,0,0,0,-2,0,63,739,3,0,10.4,156.7
102,Jalen Richard,OAK,RB,16,0,0,0,259,1,68,607,0,2,9.8,156.6
103,Robby Anderson,NYJ,WR,14,0,0,0,-8,0,50,752,6,2,11.2,156.4
104,Allen Robinson,CHI,WR,13,0,0,0,9,0,55,754,4,1,11.8,153.3
105,Dalvin Cook,MIN,RB,11,0,0,0,615,2,40,305,2,2,13.8,152
106,Taylor Gabriel,CHI,WR,16,0,0,0,61,0,67,688,2,1,9.5,151.9
107,Kyle Rudolph,MIN,TE,16,0,0,0,0,0,64,634,4,0,9.5,151.4
108,DeSean Jackson,TB,WR,12,0,0,0,29,1,41,774,4,0,12.6,151.3
109,Peyton Barber,TB,RB,16,0,0,0,871,5,20,92,1,1,9.4,150.3
110,Cole Beasley P,DAL,WR,16,0,0,0,0,0,65,672,3,0,9.4,150.2
111,AJ Green O,CIN,WR,9,0,0,0,0,0,46,694,6,1,16.6,149.4
112,Trey Burton Q,CHI,TE,16,0,0,0,2,0,54,569,6,1,9.2,147.1
113,John Brown,BAL,WR,16,0,0,0,4,0,42,715,5,0,9,143.9
113,David Njoku,CLE,TE,16,0,0,0,0,0,56,639,4,0,9,143.9
115,Ryan Tannehill,MIA,QB,11,1979,17,9,145,0,1,3,1,4,13,142.96
116,Mark Ingram,NO,RB,12,0,0,0,645,6,21,170,1,1,11.9,142.5
117,Doug Baldwin,SEA,WR,13,0,0,0,0,0,50,618,5,0,10.9,141.8
118,Isaiah Crowell IR,NYJ,RB,13,0,0,0,685,6,21,152,0,0,10.8,140.7
119,Kerryon Johnson,DET,RB,10,0,0,0,641,3,32,213,1,1,13.9,139.4
120,Sony Michel,NE,RB,13,0,0,0,931,6,7,50,0,1,10.7,139.1
